Original archive filename,Size bytes,SHA-256
Vulnerabilities-in-Electronic-Voting-and-Ballot-Counting-Systems.zip,10438315,165d85c466cb841643f7c5219340905889ae84cc5235264c78571cae22e7a607
Chinas-Acquisition-and-Exploitation-of-American-Voter-Data.zip,39515761,a823364d94ad5b9bca5dc42c10e8c4e0e782c3e6f0331e40dd600aaa27d041ce
Michigan-Voter-Registration-Investigation.zip,23514930,b73c4dee770bf6270174d3a55419498c7911ae133e0b01740bfac24ca69c40f6
Noncitizens-on-State-Voter-Rolls.zip,565400,3291004b5f1631fba0f306a78027858b94d8ced1f740663c2fb6eccd7b34158e
